職缺名稱,公司名稱,工作地點,薪資,學歷要求,工作性質,遠端工作,更新日期,應徵人數,工作描述,產業類別,職缺連結,公司連結
數位金融風險管理諮詢/數據分析顧問-SRT-台北,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台北市信義區 松仁路100號27樓,面議,大學,兼職,否,2026-03-04,7,1. 新興金融商業模式、Fintech/Regtech 應用之法規遵循與風險管理議題研析(如人工智慧、認知運算、資料分析、開放銀行、雲端運算、區塊鏈、流程自動化機器人([[[RPA]]])應用等)。 2. 協助客戶從市場分析、法規環境與科技應用等面向導入,工商顧問服務業,https://www.104.com.tw/job/8k6l2,https://www.104.com.tw/company/1a2x6bmker
D176 營運企劃管理人員(可部分遠端工作),台灣大哥大股份有限公司,台北市大安區,"36,000 ~ 47,000 元",國中以下、高中職、專科、大學、碩士、博士,兼職,是,2026-03-09,9,"1.維修中心經營績效管理：預算編列與損益控管、維修中心獎佣金、維修人力、加班費規劃控管等 2.維修中心營運專案規劃 3.對應手機原廠制定競賽獎勵等績效提升計畫 4.內/外部稽核(ISMS資安資產清冊及工作職掌定期檢視)  【薪資待遇】月薪依能力與經歷核敘約36,000~47,000元，若績效達平均水準者，年薪約64~84萬，績效優者年薪將更高。",電信相關業,https://www.104.com.tw/job/7aslp,https://www.104.com.tw/company/18n48ptc
ERP資訊/系統工程師,同興實業股份有限公司,台北市中正區 延平南路,面議,專科、大學、碩士,兼職,否,2026-03-11,4,決方案評估及提案(可運用n8n、[[[RPA]]]者佳)。 6、公司軟硬體維護及故障排除 (M365、Mail Server、網路、防火牆、NAS、機房管理)。 7、主管交辦事項辦理。  ※本工作需有ERP相關經驗者，歡迎有興趣且符合資格的求職者申請此職位，期,食品什貨批發業,https://www.104.com.tw/job/8vyen,https://www.104.com.tw/company/1nyamgo
資訊財務工程師 (台北大安),音律電子股份有限公司,台北市大安區 文昌街210巷9號(鄰近101),面議,大學、碩士,兼職,否,2026-03-05,2,1.財務與成本系統需求規劃與開發。  2.財務與成本流程自動化與優化 3.財務與成本系統整合測試、系統例行性維運,消費性電子產品製造業,https://www.104.com.tw/job/8m8iw,https://www.104.com.tw/company/e841uoo
台積電駐廠儀控課助理工程師-南科,河筧工程有限公司,台南市善化區 南科,"35,000 ~ 43,000 元",專科、大學,不限,否,2026-03-09,1,"1.資料庫、報表彙總 2.行政文書處理 3.會議報告內容追蹤整理 4.例行工程內容資料整理更新 5.現場巡檢 6.主管交辦事項 7.懂基本basic c++ 語言，及MS-DOS符號指令代碼運用，     若不懂，有專人教導，希望有學習的熱忱。  ※因在台積電廠內工作，故無法帶3C產品或可置入資料的產品進廠(EX:智慧型手機、隨身碟、APPLE WATCH或小米手環等)  ※薪資結構35000元(本薪34500元+500元變動性工作獎勵金) ※三節禮金、生日禮金、年終尾牙及抽獎活動  ※期滿或年終獎金1～3個月，以2個月為基準,視工作績效、出勤、工作職務、工作    安全(品質) 意識等因素，予以調整。 ",空調水機電工程業,https://www.104.com.tw/job/8dvis,https://www.104.com.tw/company/cx87c2g
資訊經理,50嵐(中區)海外品牌_台灣星豆有限公司,越南 胡志明市一郡,面議,大學,兼職,否,2026-02-07,12,1. 規劃公司整體資訊策略與發展方向，確保 IT 系統支援營運與成長需求。 2. 建置與維護資訊系統（包含: ERP(TIPTOP)、POS、CRM、BI、API系統等），以提升營運效能。 3. 協助門市及公司建立及監督監控系統，以提升環境安全管控。 4. 公司資訊安全與資料保護，建立資安政策與應變機制，強化帳號管理流程，防範資安風險。 5. 領導資訊團隊進行系統開發、網路架構管理、伺服器與雲端服務維運，並進行進行調校與架構優化。 6. 協助推動數位轉型專案（例: 行動應用、電子平台等）。 7. 制定部門預算，進行供應商管理與成本效益分析。 8. 跨部門合作，協助各部門資訊化需求，特別是針對部門協助設計 API 串接與流程自動化需求。 9. 追蹤新興科技趨勢（AI、自動化服務等），提出建議及改善計畫等。 10. 第一線使用者(特別是門市)設備緊急Trouble shooting。 ,飲料店業,https://www.104.com.tw/job/8w2kq,https://www.104.com.tw/company/1a2x6bmbm1
股務人員,和運租車股份有限公司,台北市中山區 松江路121號15樓,面議,大學、碩士,兼職,否,2025-12-23,4,【工作內容】 1.統籌董事會、功能性委員會、股東會議召開與執行事宜 2.辦理股務相關作業及股務代理機構溝通窗口，遵循股務相關法令 3.公開資訊觀測站各項公告及重大訊息申報作業  4.協助公司治理評鑑與ESG永續報告書協助編制及彙整 5.其他公司治理(含永續專案)相關事務  我們期待您： 1.擁有2年以上相關工作經驗 2.熟悉股務相關法規與實務流程，具獨立處理案件能力  3.細心、具溝通協調能力、富有責任感 4.有會計師事務所、券商工作經驗歡迎  【工作待遇】  1. 保障年終奬金3個月 2. 營利共享，年中依個人表現發放考核獎金 3. 享有每年調薪 4. 生日及三節禮金、旅遊津貼等福利 5. 完善升遷/輪調制度 6. 提供在職訓練、外語補助及數位學習資源 7. 上班地點佳，不怕風吹日曬 8. 彈性上下班時間，可依個人狀況調整   ,運輸工具設備租賃業,https://www.104.com.tw/job/8tr13,https://www.104.com.tw/company/wbpde6o
企業管理顧問,彩翔科技股份有限公司,台北市士林區 後港街98號7樓,面議,大學、碩士,不限,否,2026-03-05,6,1. 協助客戶制定轉型策略與管理藍圖：包含組織架構治理（Governance）。 2. 協助進行營運診斷與管理問題盤點，強化企業體質，進行企業管理內部控制制度設計、流     程優化/改造，以符合公開發行以上公司之法令法規之要求。 3. 協助識別 AI/GenAI 對經營管理的應用機會：例如決策支援、知識管理、客戶服務、供應     鏈/採購、財務與風險管理等情境。 4. 協助推動轉型落地與變革管理：包含制度與作業流程診斷調整、培訓規劃與導入後成效追     蹤。 5. 協助彙整產業最佳實務與案例研究：建立可複用的方法論與管理案例庫，支援提案與專案     交付。,電腦軟體服務業,https://www.104.com.tw/job/8ypkd,https://www.104.com.tw/company/1a2x6bnkqg
(資訊類)-資訊工程師-重電事業部,大同股份有限公司,桃園市大園區,"35,000 ~ 42,000 元",大學,兼職,否,2026-03-11,1, SPC等資訊系統導入或AI應用專案(主動搜尋需求/系統功能測試/系統導入後續維運異常通報等…)。 (5)    ASP.NET程式設計(VB/C#)/[[[RPA]]](UiPath)程式設計開發與維運。  (6)    協助單位行政作業及跨部門溝通協調與團隊合,電力機械器材製造修配業,https://www.104.com.tw/job/8ui2i,https://www.104.com.tw/company/52cwahd
團險暨旅行險-流程暨系統企劃人員,(總公司)南山人壽保險股份有限公司,台北市信義區 莊敬路168號,"面議（底薪 36,000 起）",大學、碩士,兼職,否,2026-03-11,1,規劃團險及旅行險相關作業原則及流程，並彙整提出系統作業需求。 ● 追蹤及管理團險及旅行險核保案件及控管作業效能與品質。 ● 收集各地作業問題及同業調研，提出優化／改善建議與執行方案，以提升服務效能。 ● 配合通路商品策略，提出／優化相關作業流程，協助業務推動。 ● 配合主管指派辦理行政、法遵作業、報表彙整等其他例行性、臨時性或專案性之共同性支援事項。  公司將提供完整在職培訓，適合應屆畢業生或欲轉職流程／系統企劃之人才。,人身保險業,https://www.104.com.tw/job/8x23h,https://www.104.com.tw/company/59glysw
記帳/查帳稅務人員(3年以上)－年薪14個月up，誠信專業的會計師事務所,誠瑞會計師事務所,台北市大安區 光復南路432號3樓,"面議（底薪 40,000 起）",大學、碩士、博士,不限,否,2026-03-06,3,【工作內容】 1.  一般會計帳務處理(文中WSTP系統) 2.  稅務申報(營業稅、各類所得扣繳、營所稅) 3.  財稅報審計查核(文中NTF系統) 3.  其他一般行政工作及主管交辦事項 *本所已導入憑證OCR掃描與行政流程[[[RPA]]]系統  【薪,會計服務業,https://www.104.com.tw/job/8xl9f,https://www.104.com.tw/company/1a2x6bnit1
【科技與轉型服務】數位轉型服務-AI 商業分析與流程規劃資深顧問,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台北市信義區 松仁路100號20樓,面議,碩士,兼職,否,2026-03-04,8,勤業眾信協助企業 AI 策略轉型之規劃與推動，徵求對數位與AI流程轉型以及顧問業具強烈興趣及企圖心的優秀人才加入  主要工作項目，如下： 1. 協助 客戶進行數位與AI 轉型規劃 2. 協助 客戶進行作業現況評估與痛點分析 3. 協助 客戶識別潛在數位與AI/GenAI應用場景與機會 4. 協助 客戶進行應用機會可行性評估(例如，效益面、成本面) 5. 協助 客戶評估AI/GenAI工具並進行作業流程改善與重塑 6. 協助 蒐集數位與AI 轉型應用場景個案資料,工商顧問服務業,https://www.104.com.tw/job/8w772,https://www.104.com.tw/company/1a2x6bmker
數位轉型企劃專員,全家便利商店股份有限公司,台北市中山區 中山北路二段61號3樓,"38,000 ~ 49,000 元",大學、碩士,兼職,否,2026-03-02,5, Power Automate、     Power Apps、Airtable 等）   •樂於解決問題，能主動挖掘問題本質並提出具體解方   •具備良好溝通與協作能力，能與不同部門攜手推動轉型 【加分項目】   •有數位轉型、專案管理、流程改善、[[[RPA]]],量販流通相關業,https://www.104.com.tw/job/8bdt1,https://www.104.com.tw/company/aldh58g
【產品策略】營運工程師,景碩科技股份有限公司,桃園市新屋區 中華路1245號,面議,大學、碩士、博士,兼職,否,2026-03-09,1,•與銷售團隊溝通並彙整客戶需求。 •作為銷售與內部團隊(如採購、物流、生產等)之溝通窗口，進行跨部門協調。 •協助處理並彙整各類報告，依不同需求調整報告格式。 •追蹤專案型態、再製品狀態、庫存資訊及交貨日期。 •回覆客戶郵件，提供專案進度；庫存與交期等相關資訊。 •協助滿足不同客戶之客製化資料與報告需求。,半導體製造業,https://www.104.com.tw/job/8wpu6,https://www.104.com.tw/company/winn6t4
MIS開發工程師,德鴻科技股份有限公司,台北市大同區 重慶北路二段243號13樓,"40,000 ~ 50,000 元",大學、碩士,不限,否,2026-03-04,3,"此職務主要開發MIS系統之客製化,包括公司自有低代碼開發平台之客製化開發、TipTop表單開發(4GL語言)以及MIS相關自動化工具([[[RPA]]])開發,具有低代碼開發經驗與程式開發經驗(C#或Python等語言皆可)為佳。",電腦軟體服務業,https://www.104.com.tw/job/8u7qv,https://www.104.com.tw/company/13wojfg0
職涯培訓－AI培訓顧問,大數智能教育股份有限公司,台北市大安區 忠孝東路4段73之5號6樓(近忠孝復興站),"1,500 ~ 2,500 元",大學、碩士、博士,不限,是,2026-03-07,3,[[[RPA]]]、數據或流程自動化專案。   【其他資訊】  授課形式：依課程安排，需配合企業內訓或線上授課。  合作方式：專案制。,其他教育服務業,https://www.104.com.tw/job/7se6i,https://www.104.com.tw/company/1a2x6bluu1
資訊財務工程師 (新北三峽),音律電子股份有限公司,新北市三峽區 中正路二段218號,面議,大學、碩士,兼職,否,2026-03-05,1,1.財務與成本系統需求規劃與開發。  2.財務與成本流程自動化與優化 3.財務與成本系統整合測試、系統例行性維運,消費性電子產品製造業,https://www.104.com.tw/job/8m8hu,https://www.104.com.tw/company/e841uoo
VIS240115-成本管理會計資深管理師,世界先進積體電路股份有限公司,新竹市 新竹科學園區園區三路123號,面議,大學、碩士,兼職,否,2026-03-04,8,1.每月生產成本、製造費用之結轉及存貨交易之結算與分析。 2.每月存貨交易之結算、評價及帳齡報表之編製與分析。 3.產品單位成本、毛利及製造費用差異之計算與分析。 4.存貨之控管及參與年底存貨盤點。 5.存貨、生產成本等相關流程及系統改善。 6.提供生產成本、存貨帳務資訊以完成財務及稅務簽證作業。,半導體製造業,https://www.104.com.tw/job/8frw1,https://www.104.com.tw/company/12nocs6o
資訊工程師,富喬工業股份有限公司,雲林縣斗六市 斗工十六路8號,面議,大學、碩士,兼職,否,2026-03-09,1,1.ERP、EIP、[[[RPA]]]、BI、MES、SPC等資訊應用系統導入與維護。 2.定期回報建置與維運狀態。 3.跨部門協調溝通與IT支援。 4.視需要可配合國外出差。 5.主管臨時交辦事務。  ,其他電子零組件相關業,https://www.104.com.tw/job/8xibh,https://www.104.com.tw/company/7qeosbk
