職缺名稱,公司名稱,工作地點,薪資,學歷要求,工作性質,遠端工作,更新日期,應徵人數,工作描述,產業類別,職缺連結,公司連結
RPA系統開發工程師,鴻佰科技股份有限公司,新北市土城區,面議,大學、碩士、博士,不限,否,2026-03-03,2,1.[[[RPA]]]產品(專案)的規劃、程式開發、現場POC測試與維運 2.[[[RPA]]]產品(專案)跨組織/部門/系統合作之溝通協調與整合 3.負責與工作相關的技術文檔編寫、技術培訓等工作 4.其他主管交辦事項,電腦及其週邊設備製造業,https://www.104.com.tw/job/890rl,https://www.104.com.tw/company/5z4kla0
【數位金融部】RPA開發工程師,板信商業銀行股份有限公司,新北市板橋區 篤行路一段22號4樓,面議,大學、碩士、博士,兼職,否,2026-03-04,4, [[[RPA]]](自動化流程機器人) 流程開發與測試 2.流程系統管理 3.除錯、維運與效能調整 4.數位金融相關業務支援與執行  【應徵條件】 ●工作經歷： 具以下其中一項資格 1.具一年以上金融機構支付金流相關經驗。 2.具一年以上金融機構相關經驗 3.兩年,銀行業,https://www.104.com.tw/job/8xssi,https://www.104.com.tw/company/7e5vmyw
【金融業】RPA 軟體工程師,華威數位財金科技股份有限公司,台北市內湖區 台北市,"45,000 ~ 80,000 元",專科、大學、碩士,不限,否,2026-03-11,2,【工作地點】 台北市內湖區 (金融產業因應資安問題，軟體開發需駐點於客戶端進行開發)  【技術條件】 熟悉流程自動化 [[[RPA]]] Uipath  【工作內容】 1. 與業務單位及廠商協作，進行需求分析與流程規劃，並撰寫規劃文件。 2. 依需求開發、測,電腦軟體服務業,https://www.104.com.tw/job/8da89,https://www.104.com.tw/company/cyq1kaw
數據工程師 - RPA流程自動化人員(IDS),宏燁資訊股份有限公司,台北市中正區 北平東路30號7樓,面議,專科、大學、碩士,不限,否,2026-03-09,7,1. [[[RPA]]]軟體流程自動化(UiPath / Automation Anywhere)需求訪談、流程規劃、流程開發與維護。 2. 設定軟體自動化流程、伺服器平台運用、流程開發。 3. 個性主動積極，具程式開發相關經驗佳。   4. 有良好的溝通與,電腦系統整合服務業,https://www.104.com.tw/job/874x5,https://www.104.com.tw/company/7f39r7c
【海外-Netherlands】Finance Process Automation Specialist_RPA,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,荷蘭 Hoofddorp(霍夫多普),面議,大學、碩士,兼職,否,2026-03-09,12, Robotic Process Automation (“[[[RPA]]]”) solutions for financial processes using relevant tools and technologies for the identified,其他電子零組件相關業,https://www.104.com.tw/job/87fo7,https://www.104.com.tw/company/fn5mtmo
RPA Solution Pre-Sales,台灣富士軟片資訊股份有限公司,台北市松山區 敦化北路88號7樓,面議,大學、碩士、博士,兼職,否,2026-01-30,0,1. 蒐集客戶需求並進行可行性評估 2. 協助工程師開發以及溝通作業 3. 管理專案進度並製作專案需求文件 4. 客戶[[[RPA]]]使用問題排除,電腦系統整合服務業,https://www.104.com.tw/job/7xm7a,https://www.104.com.tw/company/1mpl4c0
【AI人才招募中】AI RPA流程自動化工程師,漢通科技股份有限公司,台北市南港區 南港路一段209號,面議,大學、碩士、博士,兼職,否,2026-03-09,8,1.協助進行企業流程自動化開發，需求分析： 與各部門（業務、生管、行政等）訪談，分析作業痛點與邏輯，將口語需求轉化為可執行的自動化流程規格。 2.客製化程式開發： 運用 [[[RPA]]] 工具結合程式開發能力，針對特殊邏輯與介面需求，使用 C# (.NET,電腦及其週邊設備製造業,https://www.104.com.tw/job/8wwlf,https://www.104.com.tw/company/1a2x6blrho
RPA自動化軟體工程師-3DW283,敦新科技股份有限公司,台北市中山區 民生東路三段49號9樓,面議,大學、碩士,不限,否,2026-03-06,2,1. 協助客戶進行企業流程自動化機會鑑別，並提供必要的企業流程再造 2. 協助客戶應用[[[RPA]]]機器人流程自動化進行數位轉型 3. 協助客戶結合AI與[[[RPA]]]，推動智能自動化   敦新科技為精誠(6214)集團旗下的子公司。集團重視人員專業領域的持續成,電腦系統整合服務業,https://www.104.com.tw/job/8bo00,https://www.104.com.tw/company/5snb99k
AC-【日商零組件公司】 IT Operations 月薪48k~87k*16 (台北市中山區/日英中等/RPA相關經驗),新加坡商立可人事顧問有限公司台灣分公司,台北市中山區,"48,000 ~ 87,000 元",大學、碩士,不限,否,2026-03-10,0,主要職責  1.社內系統開發時與內部/外部業者接洽溝通，可繪制系統架構圖。 2. [[[RPA]]](Power Automater)雲、地端流程開發、維護與優化。 3. Power BI製作與管理。 4.社內自動化工具開發與維護。  【工作技能】 1) 具,人力仲介代徵,https://www.104.com.tw/job/8962y,https://www.104.com.tw/company/1a2x6bizrb
RPA應用工程師(士林),Inventec_英業達股份有限公司,台北市士林區 後港街66號,面議,大學、碩士,兼職,否,2026-03-09,6,我們正在尋找對流程自動化有興趣的 [[[RPA]]]工程師，加入我們的團隊， 一起用 [[[RPA]]] 與 AI 解放大家的時間與想像力！主要的工作內容如下:  1. 與各部門合作導入流程自動化，優化作業流程、提升效率 2. 分析現有流程，設計並開發 [[[RPA]]] 機器人（,電腦及其週邊設備製造業,https://www.104.com.tw/job/8pr65,https://www.104.com.tw/company/1zh8g1c
電子商務 RPA 軟體工程師 (engineer)  D01,山淬股份有限公司,台北市中正區 仁愛路2段1號8樓,"480,000 ~ 650,000 元",大學、碩士、博士,不限,否,2026-03-09,2,1.流程分析 2.[[[RPA]]]程式開發及單元測試 3.監控、維運[[[RPA]]]流程機器人系統  工作第一階段為[[[RPA]]]開發，後續依個人專長發展，以下為發展方向： 數據分析師：透過[[[RPA]]]與資料庫交互運用，建構智能化報表及數據分析。 軟體工程師：能編寫程式語言與,其他商品批發業,https://www.104.com.tw/job/8099g,https://www.104.com.tw/company/1a2x6bkqnz
【新竹｜擴大徵才】自動化工具專案管理師(RPA),牧羊人集團暨汪喵星球_自力耕生股份有限公司,新竹市 東區光復路二段,面議,大學、碩士、博士,兼職,否,2026-03-02,2,先看看我們的職務敘述：  【你需要負責的工作內容】 1. 參與並執行[[[RPA]]]機器人流程開發，持續優化與改進流程效率。 2. 協助跨部門流程分析與問題解決，提供創新數位化解決方案。 3. 支援使用者測試並排除線上問題，確保數位工具的穩定運行。 4. 其,其他零售業,https://www.104.com.tw/job/8lgtp,https://www.104.com.tw/company/1a2x6bk3to
RPA 流程自動化工程師/分析師,艾力特科技有限公司,台北市中山區 新生北路二段41巷44號２樓,面議,專科、大學、碩士、博士,不限,否,2026-03-07,1,Robotic Process Automation 解決方案設定與開發。  開發設定工作包含系統分析、整合其他系統介面輸出入資料錄製、程式開發。    整合Microsoft、google等認知服務(Cognitive service)供應商提供之解決方案，如圖像轉文字、語意辨識、機器學習以及深度學習等技術。    撰寫測試腳本以供客戶進行測試。    客戶測試問題除錯。   具下列任一條件尤佳：  1. 具2年以上 .Net Framework程式開發經驗佳  2. 熟悉新興科技安全相關工具與方法.  3.具備任一資訊服務管理或資訊科技相關證照與專案管理者佳(如MCSD、ITIL、Open Group Certified Architect (Open CA)、Open Group Certified IT Specialist (Open CITS)、Scrum Master、Scrum PO等)   ,電腦系統整合服務業,https://www.104.com.tw/job/6l7qe,https://www.104.com.tw/company/1a2x6bj1x1
【科技與轉型服務】RPA數位科技應用顧問-台北所/台中所/高雄所,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台北市信義區 松仁路100號20樓,面議,大學、碩士,兼職,否,2026-03-04,2,1. 協助客戶進行企業流程自動化機會鑑別，並提供必要的企業流程再造 2. 協助客戶應用[[[RPA]]]機器人流程自動化進行數位轉型 3. 協助客戶結合AI與[[[RPA]]]，推動智能自動化,工商顧問服務業,https://www.104.com.tw/job/8w51b,https://www.104.com.tw/company/1a2x6bmker
RPA應用工程師(大溪),Inventec_英業達股份有限公司,桃園市大溪區 仁和路2段349號,面議,大學、碩士,兼職,否,2026-03-09,3,我們正在尋找對流程自動化有興趣的 [[[RPA]]]工程師，加入我們的團隊， 一起用 [[[RPA]]] 與 AI 解放大家的時間與想像力！主要的工作內容如下:  1. 與各部門合作導入流程自動化，優化作業流程、提升效率 2. 分析現有流程，設計並開發 [[[RPA]]] 機器人（,電腦及其週邊設備製造業,https://www.104.com.tw/job/8pk2v,https://www.104.com.tw/company/1zh8g1c
【MIS】RPA開發工程師,泰詠電子股份有限公司,新竹市 香山區牛埔東路480號,面議,大學、碩士、博士,兼職,否,2026-03-10,7,您是否對溝通和流程優化充滿熱忱？對 [[[RPA]]]（機器人流程自動化）有著濃厚的興趣。無論您是否已有經驗，只要您有強烈的意願和學習精神，我們熱烈歡迎您的加入！  【基礎職務說明】 1. [[[RPA]]] (UiPath/Python) 專案管理：負責現有各項,消費性電子產品製造業,https://www.104.com.tw/job/846b1,https://www.104.com.tw/company/atx4fvs
資深RPA軟體流程自動化工程師(IDS),宏燁資訊股份有限公司,台北市中正區 北平東路30號7樓,面議,專科、大學、碩士,不限,否,2026-03-09,1,1. [[[RPA]]]軟體流程自動化(Automation Anywhere / UiPath/PowerAutomate)需求訪談、流程分析規劃、系統分析、流程開發與維護、教育訓練規劃執行。 2. 流程錯誤問題查詢、解決。 3. 設定軟體自動化流程、平台,電腦系統整合服務業,https://www.104.com.tw/job/83grh,https://www.104.com.tw/company/7f39r7c
軟體開發工程師【BenQ資訊技術服務中心】,明基電通股份有限公司,台北市內湖區 基湖路16號,面議,大學、碩士、博士,兼職,否,2026-03-09,5,1. [[[RPA]]]自動化流程開發: 公司內部[[[RPA]]]自動化流程開發與工具推廣 2. 應用系統開發/建置: 大型語言模型LLM平台與手機應用程式開發 3. 系統分析與設計: 用戶需求訪談、系統架構與規格設計 4. 系統維運及管理: 系統運行之監控與管理、系,消費性電子產品製造業,https://www.104.com.tw/job/789l3,https://www.104.com.tw/company/whlrnm8
BPM/RPA/AI軟體工程師(台北／台中),勤美股份有限公司,台北市大安區 仁愛路四段85號4樓,面議,專科、大學、碩士,不限,否,2026-03-04,3,1. 負責Easyflow GP BPM電子簽核系統訪談、設計、開發及維護。 2. 負責電子簽核系統之內部員工教育訓練及使用者問題排除。 3. 整合ERP、HRM應用系統，串接BPM系統。 4. 數位工具應用：Power Automate 與 N8N 自動化流程開發與維護，提升作業效率與降低人力成本。Power BI 報表設計與維運，提供即時、視覺化數據分析，輔助決策品質提升。 5. AI/LLM+RAG應用。 6. 主管交辦事項。,其他金屬相關製造業,https://www.104.com.tw/job/8dj0q,https://www.104.com.tw/company/1lgijiw
LEOTEK - 資料處理與自動化實習生,光寶科技股份有限公司,桃園市龍潭區 龍園七路50號,面議,大學、碩士,兼職,否,2026-03-11,8,1. 開發 Python 腳本處理 BOM、報價單、跨國報單資料。 2. 使用 [[[RPA]]] 工具自動化 SSR 流程與報單核對。 3. 建立 Power Automate 流程，實現自動提醒與文件傳遞。,消費性電子產品製造業,https://www.104.com.tw/job/8ywpn,https://www.104.com.tw/company/aqae7i0
數位服務中心-EMILY.RPA / SAP系統專員/助理專員-YC,業強科技股份有限公司,台北市南港區 三重路19-13號7樓,面議,國中以下、高中職、專科、大學、碩士、博士,兼職,否,2026-03-10,2,1. 改善各單位的作業流程簡化內部作業，協助提高使用者工作效率 2. EMILY.[[[RPA]]] / SAP ERP模組(FI/CO)維運與ABAP程式撰寫 3. 抗壓性高、EQ高、表達能力佳,其他電子零組件相關業,https://www.104.com.tw/job/8wdlx,https://www.104.com.tw/company/1303sgq8
MIS-Intelligent Application Developer (Taipei),遠東金士頓科技股份有限公司,台北市中正區,面議,大學、碩士,不限,否,2026-03-09,5," stable endpoints for [[[RPA]]] bots and AI Agents. 3. Assist in deploying and integrating local AI models (e.g., Ollama) and develop",電腦及其週邊設備製造業,https://www.104.com.tw/job/8yowt,https://www.104.com.tw/company/12noq5o0
【總部專案】AI 數位轉型專案人員*,55688集團_台灣大車隊股份有限公司,台北市中山區 濱江街136號,面議,專科、大學、碩士、博士,兼職,否,2026-03-10,6,【我們正在尋找｜AI 數位轉型專案人員】 加入我們，把 AI 技術真正導入日常工作流程，創造實質改變！ 我們是一支致力於企業 AI 應用與流程自動化的小組，成員來自工程、資料、[[[RPA]]] 等技術領域，已在公司內部實作多項 AI 轉型專案。 現在，我們,網際網路相關業,https://www.104.com.tw/job/8sqn4,https://www.104.com.tw/company/cr8bru0
MIS-Intelligent Application Developer (Hsinchu),遠東金士頓科技股份有限公司,新竹市,面議,大學、碩士,不限,否,2026-03-09,5," stable endpoints for [[[RPA]]] bots and AI Agents. 3. Assist in deploying and integrating local AI models (e.g., Ollama) and develop",電腦及其週邊設備製造業,https://www.104.com.tw/job/8yow5,https://www.104.com.tw/company/12noq5o0
Software Engineer,廣達集團_雲達科技股份有限公司,桃園市龜山區 文化二路211號1樓,面議,大學、碩士,不限,否,2026-03-09,9," •	Implement and maintain [[[RPA]]] solutions or build custom automation services. •	Integrate enterprise systems (CRM/ERP/Agile),",電腦軟體服務業,https://www.104.com.tw/job/8wqkc,https://www.104.com.tw/company/1a2x6bihks
AI數位轉型專案人員,錸恩帕斯科技股份有限公司,台南市永康區 永科環路50號2F,"35,000 ~ 45,000 元",大學、碩士,不限,否,2026-03-11,8,1.擔任AI小組與各業務單位之間的橋樑，了解需求、找出痛點 2.將業務需求轉換為可執行的AI/[[[RPA]]]/數位解決方案 3.規劃並管理專案時程、進度與執行成效 4.協助公司內部流程落地技術解決方案 5.推動企業內部AI工具應用、數位文化普及,其他半導體相關業,https://www.104.com.tw/job/8yxkn,https://www.104.com.tw/company/bipr2c0
軟體工程師--日商機械電子零件商社--TW00512-174-901,"保聖那管理顧問股份有限公司(Pasona Taiwan Co., Ltd.)",台北市松山區,"50,000 ~ 80,000 元",大學、碩士,兼職,否,2026-03-06,1,1. 社內系統開發時與內部/外部業者接洽溝通，可繪制系統架構圖。 2. [[[RPA]]](Power Automater)雲、地端流程開發、維護與優化。 3. Power BI製作與管理。 4. 社內自動化工具開發與維護。,人力仲介代徵,https://www.104.com.tw/job/8z1tw,https://www.104.com.tw/company/1a2x6biz5w
【審計服務】審計智慧服務中心 - .Net工程師,安永聯合會計師事務所,台北市信義區 基隆路一段333號9樓(110),面議,大學、碩士,兼職,否,2026-03-09,2,1.與需求單位溝通需求 2.進行系統分析、設計、測試及管理 3.與開發團隊合作並確認系統開發符合需求 4.專案文件撰寫及管理 5.參與系統開發、程式撰寫及維護 ASP / VB / ASP.NET / ASP.NET MVC / [[[RPA]]] /,會計服務業,https://www.104.com.tw/job/88dhl,https://www.104.com.tw/company/1vzrgxd
【科技與轉型服務】企業轉型與數位科技應用顧問-台北所/台北所/高雄所,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台北市信義區 松仁路100號20樓,面議,大學、碩士,兼職,否,2026-03-04,6,1.	協助客戶應用新興數位科技(如[[[RPA]]]流程自動化機器人、大數據)進行營運改善改善 2.	協助客戶進行數位策略諮詢、數位相關資訊系統之評估、診斷、評選與改善 3.	協助客戶進行應用系統及數位科技導入專案管理及專案監理 4.	協助客戶進行企業流程評,工商顧問服務業,https://www.104.com.tw/job/8w4gk,https://www.104.com.tw/company/1a2x6bmker
RPA Development Engineer,香港商捷比達有限公司台灣分公司,台北市中正區 重慶南路二段51號10樓,面議,大學、碩士、博士,兼職,否,2026-03-11,0,"Job Overview: We are seeking a talented and experienced [[[RPA]]] engineer to join our team. The ideal candidate will design,",其他商品批發業,https://www.104.com.tw/job/8kqrw,https://www.104.com.tw/company/db8ak80
法金_AI流程規劃師,中國信託商業銀行股份有限公司,台北市南港區 經貿二路168號,面議,大學、碩士,兼職,否,2026-03-10,2,1.訪談業務單位，拆解作業流程為可執行子任務與決策邏輯，並撰寫規格書 2.設計 Agent 執行流程、狀態機及工具調用順序，必要時提出 [[[RPA]]]/API 或平台規格書 3.規劃整體 AI Agent 落地框架，並於缺乏標準工具時提出技術解決方案 4,銀行業,https://www.104.com.tw/job/8wjan,https://www.104.com.tw/company/1ew38w0
流程自動化管理師,瑞儀光電股份有限公司,高雄市前鎮區 加工出口區中六路1號,面議,大學、碩士,兼職,否,2026-03-08,5,"1.協助財務部門建構DashBoard平台 2.建立或管理財務雲端數據庫(語意模型及報表) 3.維護或開發[[[RPA]]]需求 4.維護財務相關系統""",光電產業,https://www.104.com.tw/job/8wyxa,https://www.104.com.tw/company/a5ihl8g
業務管理師_14865,和碩集團_和碩聯合科技股份有限公司,台北市北投區 立功街96號,"30,000 ~ 51,000 元",大學,兼職,否,2026-03-09,11,. FCST 擺放及平準化邏輯 2. 內外部生產及出貨排程協調 3. 跨內外部(廠商or客戶)溝通料況及需求等相關事宜 4. 跨部門之會議、溝通及協調 5. 出貨之協調與安排,電腦及其週邊設備製造業,https://www.104.com.tw/job/8vng7,https://www.104.com.tw/company/d6gs5o8
業務專員/高級業務專員（智慧AI客服/解決方案服務） (Senior) Business Specialist,北祥科技服務股份有限公司,台北市內湖區 文湖街18號2樓,"45,000 ~ 55,000 元",大學、碩士、博士,兼職,否,2026-03-10,8,端服務、企業解決方案等）。 2. 曾參與智慧客服、[[[RPA]]]、大數據分析等產品推廣經驗尤佳。 3. 具良好的簡報與提案能力，能獨立完成客戶簡報或產品介紹。  【職涯發展】 - 可依個人意願往「解決方案顧問」或「資深業務經理」等方向發展； - 接觸橫跨金,電腦系統整合服務業,https://www.104.com.tw/job/8e7oq,https://www.104.com.tw/company/9mb0ddc
專案企劃人員(國際金融結算業管部)_I00024512,國泰綜合證券股份有限公司,台北市大安區 敦化南路二段218號3樓,面議,大學、碩士、博士,兼職,否,2026-03-10,6,部門溝通需求 4.撰寫 [[[RPA]]] 或 Power Automate 的自動化需求規格，並推動導入 5.協助專案管理與跨部門協調，確保專案順利落地 6.教育並賦能團隊使用新工具與流程，提升部門數位素養 7.追蹤流程優化成效，提出量化數據並持續迭代改善 ,證券及期貨業,https://www.104.com.tw/job/8uuyt,https://www.104.com.tw/company/cifpbp4
資訊工程師,成機工業股份有限公司,高雄市仁武區 竹楠路47號,"33,000 ~ 47,000 元",大學、碩士、博士,不限,否,2026-03-04,2,"1.CRM、ERP、MES、APS系統的導入/訓練/維護/監督。 2.設計、開發和實施[[[RPA]]]解決方案將重複性流程自動化。 3.程式編程技能 (具C#, Python , Java ,VBA 相關等語言能力者優先錄取。) 4.公司相關主機、網路設備",金屬加工用機械製造修配業,https://www.104.com.tw/job/81wc2,https://www.104.com.tw/company/z4wxa60
軟體驗證工程師(SWVV),瑞祺電通股份有限公司,新北市新莊區 建國一路308號11樓,"30,000 ~ 60,000 元",大學、碩士、博士,不限,否,2026-03-05,3,1. 對相關PC、網路、儲存等技術有學習熱誠。 2. 具IT infra經驗尤佳，無相關經驗亦可提供相關訓練。 3. DRIVER、NAS、IPMI、BMC、軟體驗證功能驗證。 4. 自動化測試相關之[[[RPA]]]、AI 開發與維護。 5. 根據系統需求,電腦及其週邊設備製造業,https://www.104.com.tw/job/65pyf,https://www.104.com.tw/company/d35de9s
【總公司】資訊部-系統工程師,築間餐飲事業股份有限公司,台中市西屯區 台灣大道三段789號,"41,200 ~ 57,600 元",專科、大學,兼職,否,2026-03-09,4,1. 應用[[[RPA]]]科技取代高重複性與低效率的工作。 2. 開發[[[RPA]]] akaBOT流程機器人，進行流程自動化，流程規劃、開發與維護。 3. 進行[[[RPA]]] akaBOT運行測試，解決流程部屬過程中的技術問題。 4. 鼎新BPM電子表單維護及開發。 5.,餐館業,https://www.104.com.tw/job/8f80d,https://www.104.com.tw/company/1a2x6bmb6t
【神基集團-神基控股】內部稽核專案經理/專員,漢通科技股份有限公司,台北市南港區 南港路一段209號A棟5樓,面議,大學、碩士、博士,兼職,否,2026-03-09,6,期望與獲利目標，以當責角度扮演諮詢顧問角色，主動跨部門溝通協調，對高風險領域提供專業管理建議 (5.2)運用減法概念協助組織對組織、簽核流程、SOP進行營運體檢，以改善管理流程發揮營運成效 (5.3)規劃具實質效益的[[[RPA]]]系統，降低重複性高且資料量,電腦及其週邊設備製造業,https://www.104.com.tw/job/7eb28,https://www.104.com.tw/company/1a2x6blrho
IT_ERP高級工程師,宜鼎國際股份有限公司,新北市汐止區 大同路一段237號5樓,面議,專科、大學、碩士,兼職,否,2026-03-09,4,Costco，中午或下班採買日用品超方便，使您的工作和生活更加平衡。  【工作內容】 1.負責既有系統之日常維運、問題排除與功能優化，確保系統穩定性與效能。 2.依業務與使用單位需求，進行系統客製化開發與跨系統資料整合。 3.規劃與開發 [[[RPA]]] 自動,電腦及其週邊設備製造業,https://www.104.com.tw/job/8xjl1,https://www.104.com.tw/company/cnvy3hk
【暑期實習】會計及稅務知識在企業實務之應用專案,台塑_臺灣塑膠工業股份有限公司,台北市內湖區 南京東路六段380號,"30,840 ~ 30,840 元",大學、碩士,兼職,否,2026-03-11,2,1、ERP之各類帳務作業:認識會計原理如何在企業ERP流程中落實，如：成本結算、帳務處理等。 2、稅務申報：學習營業稅及各類所得等申報及繳納實務作業。 3、[[[RPA]]]流程之應用：學習機器人流程自動化([[[RPA]]])可於會計實務之應用場景。,塑膠製品製造業,https://www.104.com.tw/job/8yxgb,https://www.104.com.tw/company/ys2lc2g
總部_電子化學營業處 業務助理,臺灣永光化學工業股份有限公司,台北市大安區 敦化南路二段77號6樓(總公司),"面議（底薪 38,000 起）",大學、碩士,兼職,否,2026-03-09,3,1. 處理內外銷訂單相關作業 2. 協助業務人員處理銷售業務相關之行政作業。 3. 製作銷售相關報表。 4. 主管交辦事項及行政庶務。 5. 會議&教育訓練安排。,化學原料製造業,https://www.104.com.tw/job/8wobr,https://www.104.com.tw/company/73nkc7s
團膳高級管理師 (桃園)_14861,和碩集團_和碩聯合科技股份有限公司,桃園市龜山區 桃園市龜山區興業街5號/6號/山鶯路356號,"34,000 ~ 60,000 元",專科、大學、碩士,兼職,否,2026-03-09,8,1. 年度伙食、販賣機、商店廠商survey及稽核 2. 日常餐廳供膳管理/稽核/菜單審核 3. 客戶/ISO內外稽核/法規鑑別 4. 日常POS機維護/異常排除/同仁發票處理 5. 員工伙食意見確認/回饋 6. 各類假日餐數統籌 7. 伙食廠商輔導與教育訓練協辦 8. 每月伙食費結算/請款/租金收入作業 9. 其他主管交辦事宜,電腦及其週邊設備製造業,https://www.104.com.tw/job/8vowx,https://www.104.com.tw/company/d6gs5o8
2026法金儲備流程規劃人員 (JPO Program)/歡迎應屆畢業生,中國信託商業銀行股份有限公司,台北市南港區 經貿二路168號,面議,大學、碩士,兼職,否,2026-03-10,4,【計畫特色】 ．本計畫提供完整的培育機制，從基礎作業學習到流程專案參與，並透過輪調國內作業單位及海外分行專案，進行階段性實戰歷練，養成規劃力、設計力及思維力 ．透過法金授信產品、貿易融資、代收付、存匯款等產品作業流程規劃實作，逐步成為優秀法金流程規劃專家！  【培訓計畫】 2026/7/6(一)統一報到，為期兩年培訓計畫 ．第一階段-實務知識累積：輪調法金授服授管、流程規劃單位，學習基本流程知識 ．第二階段-持續深耕專業：輪調法金現金管理、國貿、洗防等作業單位(依分科)，深入累積流程知識並參與流程專案，拓展海內外業務管理視野   ※請至中信官方招募網站投遞履歷：https://ctbcholding.wd3.myworkdayjobs.com/External/job/XMLNAME-2026--JPO-Program-_JR6558,銀行業,https://www.104.com.tw/job/8msub,https://www.104.com.tw/company/1ew38w0
AI解決方案工程師,亞東預拌混凝土股份有限公司,新北市汐止區,面議,大學,兼職,否,2026-03-11,10,1.負責規劃、執行與追蹤AI/數位轉型專案時程與成果。 2.進行企業流程盤點、評估AI導入機會。(例[[[RPA]]]、自動化、LLM、機器學習) 3.協助選擇、評估AI相關技術與服務(Azure/OpenAI/GCP/第三方工具) 4.與工程師、資料科學家,建築工程業,https://www.104.com.tw/job/8w42z,https://www.104.com.tw/company/xtwaw1s
會計人員,東森購物_電視購物_東森得易購股份有限公司,新北市中和區 景平路188號4樓,面議,大學、碩士、博士,兼職,否,2026-03-11,1,1. 審核有關各項費用支付之發栗、單據及帳務處理。 2. 審核廠商貨款或費用等應付款項帳務。 3. 審核客戶應收款項帳務。 4. 其他一般會計帳務。 5. 營業稅、營所稅等各項稅務作業。 6. 收入認列及成本結轉作業。 7. 编制帳務相關報表。 8. 具商場/健診帳務處理經驗尤佳。  ※ 本職務目前工作地點為中和，預計於2026年第四季搬遷至林口總部(鄰近捷運林口A9站)，屆時將整合更多資源，打造更優質的工作環境。 ※ 歡迎對工作充滿熱情、樂於迎接新環境與挑戰的您加入我們，一同成長、共創佳績！  ,百貨相關業,https://www.104.com.tw/job/8ul0d,https://www.104.com.tw/company/abdz5yx
AI/RPA 專案管理師 (士林/大溪),Inventec_英業達股份有限公司,台北市士林區 後港街66號,面議,大學、碩士、博士,兼職,是,2026-03-09,43,負責協助執行「提案治理流程」，涵蓋 AI／[[[RPA]]]／流程自動化等多類型專案。你將跨部門與 BU/CU/BG/GM 等利害關係人協作，確保提案從提交、審查、ROI 評估到落地執行皆有明確的流程、時程與成果追蹤，一起推動企業 AI 轉型  1. 協助執,電腦及其週邊設備製造業,https://www.104.com.tw/job/8wdij,https://www.104.com.tw/company/1zh8g1c
【科技與轉型服務】企業轉型與數位科技應用顧問-台中所,DELOITTE CONSULTING BUSINESSES_勤業眾信管理顧問股份有限公司,台中市西屯區 惠中路一段88號22樓,面議,大學、碩士,兼職,否,2026-03-04,11,1.	協助客戶應用新興數位科技(如[[[RPA]]]流程自動化機器人、大數據)進行營運改善改善 2.	協助客戶進行數位策略諮詢、數位相關資訊系統之評估、診斷、評選與改善 3.	協助客戶進行應用系統及數位科技導入專案管理及專案監理 4.	協助客戶進行企業流程評,工商顧問服務業,https://www.104.com.tw/job/8w4jh,https://www.104.com.tw/company/1a2x6bmker
【通路管理】業務行政人事專員(人事行政科),富邦人壽保險股份有限公司(總公司),台北市信義區 東興路71號,面議,大學、碩士,兼職,否,2026-03-09,5,1.行政作業執行與流程規劃。 2.業務單位績效統計報表製作與分析。 3.作業系統需求提報與測試。,人身保險業,https://www.104.com.tw/job/8qimp,https://www.104.com.tw/company/ctztka0
電子交易維運人員(資訊部資訊維運組),華南永昌綜合證券股份有限公司,台北市松山區 民生東路四段54號,面議,大學、碩士、博士,不限,否,2026-03-05,6,"1.數據治理/數據中台之維運窗口 2.電子郵件行銷系統,洗錢系統,[[[RPA]]] (備援) ",證券及期貨業,https://www.104.com.tw/job/8yor1,https://www.104.com.tw/company/ajn9wkw
IE工程師 (桃園)_14946,和碩集團_和碩聯合科技股份有限公司,桃園市龜山區 桃園市龜山區興業街5號/6號/山鶯路356號,"34,000 ~ 60,000 元",大學,兼職,否,2026-03-09,6,工廠成本分析及費用改善專案執行、生產管理及效率報表E化、工時及成本計算、生產製程layout規劃、報價及製費分析,電腦及其週邊設備製造業,https://www.104.com.tw/job/8w98k,https://www.104.com.tw/company/d6gs5o8
IT_B2B/Java Web軟體開發工程師,采鈺科技股份有限公司,新竹市 篤行一路12號,面議,大學、碩士,兼職,否,2026-02-06,7,【請優先至采鈺人才招募網站應徵】 https://talent.viseratech.com/Jobs  1. B2B系統開發 2. Java Web應用系統開發 3. [[[RPA]]]平台維護與管理 4. 年度專案執行與管理及系統日常維運,半導體製造業,https://www.104.com.tw/job/8rfpf,https://www.104.com.tw/company/110ztpg8
會計專員,薪宇科技股份有限公司,新竹縣竹北市 環北路一段269巷100號,面議,專科、大學、碩士、博士,不限,否,2026-03-03,1,1. 執行普通會計事務（審核發票及單據／費用估算與分攤／公司總帳、年度財務分析與結帳等）。 2. 執行成本會計相關作業（成本分析報表／各部門產品成本費用分析與優化／資產盤點等）。 3. 處理稅務及股務作業（投資抵減／會計師事務所年度申報聯繫／變更登記與股權申報等）。 4. 處理財務相關作業（台幣與外幣資金預估／財務調度與撥款／經濟部中小企業加速投資方案管理與回報等）。 5. 其他主管交辦事項及專案執行。,半導體製造業,https://www.104.com.tw/job/7usou,https://www.104.com.tw/company/5ut9ji0
